Layer,Logit_1_Original,Logit_2_Original,Diff_Original,Choice_Original,Logit_1_Patched,Logit_2_Patched,Diff_Patched,Choice_Patched,Choice_Flipped,Causal_Score,prompt_id,original_id
0,14.546875,21.390625,-6.843750,2,17.531250,15.453125,2.078125,1,True,-8.921875,p001,G_058
1,14.546875,21.390625,-6.843750,2,17.625000,14.492188,3.132812,1,True,-9.976562,p001,G_058
2,14.546875,21.390625,-6.843750,2,18.265625,15.015625,3.250000,1,True,-10.093750,p001,G_058
3,14.546875,21.390625,-6.843750,2,17.359375,15.289062,2.070312,1,True,-8.914062,p001,G_058
4,14.546875,21.390625,-6.843750,2,16.593750,15.554688,1.039062,1,True,-7.882812,p001,G_058
5,14.546875,21.390625,-6.843750,2,17.203125,15.585938,1.617188,1,True,-8.460938,p001,G_058
6,14.546875,21.390625,-6.843750,2,17.000000,15.226562,1.773438,1,True,-8.617188,p001,G_058
7,14.546875,21.390625,-6.843750,2,17.203125,14.054688,3.148438,1,True,-9.992188,p001,G_058
8,14.546875,21.390625,-6.843750,2,16.468750,12.523438,3.945312,1,True,-10.789062,p001,G_058
9,14.546875,21.390625,-6.843750,2,14.921875,12.632812,2.289062,1,True,-9.132812,p001,G_058
10,14.546875,21.390625,-6.843750,2,11.843750,11.632812,0.210938,1,True,-7.054688,p001,G_058
11,14.546875,21.390625,-6.843750,2,12.890625,12.367188,0.523438,1,True,-7.367188,p001,G_058
12,14.546875,21.390625,-6.843750,2,15.023438,14.015625,1.007812,1,True,-7.851562,p001,G_058
13,14.546875,21.390625,-6.843750,2,15.281250,11.359375,3.921875,1,True,-10.765625,p001,G_058
14,14.546875,21.390625,-6.843750,2,12.679688,10.898438,1.781250,1,True,-8.625000,p001,G_058
15,14.546875,21.390625,-6.843750,2,12.390625,10.890625,1.500000,1,True,-8.343750,p001,G_058
16,14.546875,21.390625,-6.843750,2,13.492188,11.953125,1.539062,1,True,-8.382812,p001,G_058
17,14.546875,21.390625,-6.843750,2,13.210938,11.578125,1.632812,1,True,-8.476562,p001,G_058
18,14.546875,21.390625,-6.843750,2,15.023438,11.906250,3.117188,1,True,-9.960938,p001,G_058
19,14.546875,21.390625,-6.843750,2,15.812500,11.992188,3.820312,1,True,-10.664062,p001,G_058
20,14.546875,21.390625,-6.843750,2,12.804688,11.992188,0.812500,1,True,-7.656250,p001,G_058
21,14.546875,21.390625,-6.843750,2,14.882812,12.734375,2.148438,1,True,-8.992188,p001,G_058
22,14.546875,21.390625,-6.843750,2,13.039062,11.015625,2.023438,1,True,-8.867188,p001,G_058
23,14.546875,21.390625,-6.843750,2,13.250000,10.703125,2.546875,1,True,-9.390625,p001,G_058
24,14.546875,21.390625,-6.843750,2,11.742188,9.812500,1.929688,1,True,-8.773438,p001,G_058
25,14.546875,21.390625,-6.843750,2,12.390625,10.179688,2.210938,1,True,-9.054688,p001,G_058
26,14.546875,21.390625,-6.843750,2,10.484375,8.289062,2.195312,1,True,-9.039062,p001,G_058
27,14.546875,21.390625,-6.843750,2,10.742188,8.976562,1.765625,1,True,-8.609375,p001,G_058
28,14.546875,21.390625,-6.843750,2,12.164062,10.156250,2.007812,1,True,-8.851562,p001,G_058
29,14.546875,21.390625,-6.843750,2,11.914062,9.562500,2.351562,1,True,-9.195312,p001,G_058
30,14.546875,21.390625,-6.843750,2,8.679688,6.746094,1.933594,1,True,-8.777344,p001,G_058
31,14.546875,21.390625,-6.843750,2,12.625000,10.085938,2.539062,1,True,-9.382812,p001,G_058
32,14.546875,21.390625,-6.843750,2,13.539062,10.367188,3.171875,1,True,-10.015625,p001,G_058
33,14.546875,21.390625,-6.843750,2,14.023438,10.789062,3.234375,1,True,-10.078125,p001,G_058
34,14.546875,21.390625,-6.843750,2,13.500000,10.984375,2.515625,1,True,-9.359375,p001,G_058
35,14.546875,21.390625,-6.843750,2,13.679688,11.296875,2.382812,1,True,-9.226562,p001,G_058
0,19.734375,23.296875,-3.562500,2,16.187500,14.140625,2.046875,1,True,-5.609375,p002,G_112
1,19.734375,23.296875,-3.562500,2,15.726562,13.617188,2.109375,1,True,-5.671875,p002,G_112
2,19.734375,23.296875,-3.562500,2,15.976562,13.625000,2.351562,1,True,-5.914062,p002,G_112
3,19.734375,23.296875,-3.562500,2,15.421875,13.554688,1.867188,1,True,-5.429688,p002,G_112
4,19.734375,23.296875,-3.562500,2,14.429688,13.203125,1.226562,1,True,-4.789062,p002,G_112
5,19.734375,23.296875,-3.562500,2,14.484375,13.023438,1.460938,1,True,-5.023438,p002,G_112
6,19.734375,23.296875,-3.562500,2,13.046875,13.929688,-0.882812,2,False,-2.679688,p002,G_112
7,19.734375,23.296875,-3.562500,2,11.039062,11.890625,-0.851562,2,False,-2.710938,p002,G_112
8,19.734375,23.296875,-3.562500,2,12.539062,14.117188,-1.578125,2,False,-1.984375,p002,G_112
9,19.734375,23.296875,-3.562500,2,10.492188,10.718750,-0.226562,2,False,-3.335938,p002,G_112
10,19.734375,23.296875,-3.562500,2,8.429688,10.304688,-1.875000,2,False,-1.687500,p002,G_112
11,19.734375,23.296875,-3.562500,2,9.367188,10.898438,-1.531250,2,False,-2.031250,p002,G_112
12,19.734375,23.296875,-3.562500,2,9.101562,10.507812,-1.406250,2,False,-2.156250,p002,G_112
13,19.734375,23.296875,-3.562500,2,11.242188,12.195312,-0.953125,2,False,-2.609375,p002,G_112
14,19.734375,23.296875,-3.562500,2,11.570312,12.171875,-0.601562,2,False,-2.960938,p002,G_112
15,19.734375,23.296875,-3.562500,2,11.546875,11.992188,-0.445312,2,False,-3.117188,p002,G_112
16,19.734375,23.296875,-3.562500,2,11.421875,12.296875,-0.875000,2,False,-2.687500,p002,G_112
17,19.734375,23.296875,-3.562500,2,11.203125,13.375000,-2.171875,2,False,-1.390625,p002,G_112
18,19.734375,23.296875,-3.562500,2,12.867188,15.265625,-2.398438,2,False,-1.164062,p002,G_112
19,19.734375,23.296875,-3.562500,2,12.695312,15.273438,-2.578125,2,False,-0.984375,p002,G_112
20,19.734375,23.296875,-3.562500,2,12.101562,13.867188,-1.765625,2,False,-1.796875,p002,G_112
21,19.734375,23.296875,-3.562500,2,10.625000,12.515625,-1.890625,2,False,-1.671875,p002,G_112
22,19.734375,23.296875,-3.562500,2,10.031250,10.890625,-0.859375,2,False,-2.703125,p002,G_112
23,19.734375,23.296875,-3.562500,2,9.929688,11.726562,-1.796875,2,False,-1.765625,p002,G_112
24,19.734375,23.296875,-3.562500,2,10.250000,12.843750,-2.593750,2,False,-0.968750,p002,G_112
25,19.734375,23.296875,-3.562500,2,9.734375,12.335938,-2.601562,2,False,-0.960938,p002,G_112
26,19.734375,23.296875,-3.562500,2,11.000000,13.171875,-2.171875,2,False,-1.390625,p002,G_112
27,19.734375,23.296875,-3.562500,2,11.484375,14.554688,-3.070312,2,False,-0.492188,p002,G_112
28,19.734375,23.296875,-3.562500,2,13.257812,15.437500,-2.179688,2,False,-1.382812,p002,G_112
29,19.734375,23.296875,-3.562500,2,13.039062,14.015625,-0.976562,2,False,-2.585938,p002,G_112
30,19.734375,23.296875,-3.562500,2,9.117188,8.679688,0.437500,1,True,-4.000000,p002,G_112
31,19.734375,23.296875,-3.562500,2,9.679688,12.664062,-2.984375,2,False,-0.578125,p002,G_112
32,19.734375,23.296875,-3.562500,2,9.390625,12.398438,-3.007812,2,False,-0.554688,p002,G_112
33,19.734375,23.296875,-3.562500,2,9.421875,12.500000,-3.078125,2,False,-0.484375,p002,G_112
34,19.734375,23.296875,-3.562500,2,9.507812,12.554688,-3.046875,2,False,-0.515625,p002,G_112
35,19.734375,23.296875,-3.562500,2,9.734375,12.757812,-3.023438,2,False,-0.539062,p002,G_112
0,18.062500,15.914062,2.148438,1,18.609375,16.281250,2.328125,1,False,-0.179688,p003,G_030
1,18.062500,15.914062,2.148438,1,18.703125,16.000000,2.703125,1,False,-0.554688,p003,G_030
2,18.062500,15.914062,2.148438,1,18.359375,16.515625,1.843750,1,False,0.304688,p003,G_030
3,18.062500,15.914062,2.148438,1,16.656250,14.523438,2.132812,1,False,0.015625,p003,G_030
4,18.062500,15.914062,2.148438,1,15.968750,15.015625,0.953125,1,False,1.195312,p003,G_030
5,18.062500,15.914062,2.148438,1,17.453125,16.093750,1.359375,1,False,0.789062,p003,G_030
6,18.062500,15.914062,2.148438,1,13.398438,15.039062,-1.640625,2,True,3.789062,p003,G_030
7,18.062500,15.914062,2.148438,1,15.796875,16.656250,-0.859375,2,True,3.007812,p003,G_030
8,18.062500,15.914062,2.148438,1,13.757812,13.210938,0.546875,1,False,1.601562,p003,G_030
9,18.062500,15.914062,2.148438,1,10.343750,10.890625,-0.546875,2,True,2.695312,p003,G_030
10,18.062500,15.914062,2.148438,1,10.593750,11.195312,-0.601562,2,True,2.750000,p003,G_030
11,18.062500,15.914062,2.148438,1,12.031250,12.304688,-0.273438,2,True,2.421875,p003,G_030
12,18.062500,15.914062,2.148438,1,13.882812,13.812500,0.070312,1,False,2.078125,p003,G_030
13,18.062500,15.914062,2.148438,1,12.742188,13.164062,-0.421875,2,True,2.570312,p003,G_030
14,18.062500,15.914062,2.148438,1,13.171875,13.140625,0.031250,1,False,2.117188,p003,G_030
15,18.062500,15.914062,2.148438,1,11.562500,12.242188,-0.679688,2,True,2.828125,p003,G_030
16,18.062500,15.914062,2.148438,1,11.070312,11.085938,-0.015625,2,True,2.164062,p003,G_030
17,18.062500,15.914062,2.148438,1,11.359375,11.906250,-0.546875,2,True,2.695312,p003,G_030
18,18.062500,15.914062,2.148438,1,12.804688,12.382812,0.421875,1,False,1.726562,p003,G_030
19,18.062500,15.914062,2.148438,1,12.656250,12.859375,-0.203125,2,True,2.351562,p003,G_030
20,18.062500,15.914062,2.148438,1,11.195312,11.906250,-0.710938,2,True,2.859375,p003,G_030
21,18.062500,15.914062,2.148438,1,11.078125,11.281250,-0.203125,2,True,2.351562,p003,G_030
22,18.062500,15.914062,2.148438,1,11.109375,9.796875,1.312500,1,False,0.835938,p003,G_030
23,18.062500,15.914062,2.148438,1,11.367188,10.015625,1.351562,1,False,0.796875,p003,G_030
24,18.062500,15.914062,2.148438,1,11.734375,10.429688,1.304688,1,False,0.843750,p003,G_030
25,18.062500,15.914062,2.148438,1,11.882812,11.054688,0.828125,1,False,1.320312,p003,G_030
26,18.062500,15.914062,2.148438,1,12.226562,11.054688,1.171875,1,False,0.976562,p003,G_030
27,18.062500,15.914062,2.148438,1,12.148438,11.437500,0.710938,1,False,1.437500,p003,G_030
28,18.062500,15.914062,2.148438,1,12.039062,12.335938,-0.296875,2,True,2.445312,p003,G_030
29,18.062500,15.914062,2.148438,1,11.976562,12.554688,-0.578125,2,True,2.726562,p003,G_030
30,18.062500,15.914062,2.148438,1,10.539062,11.664062,-1.125000,2,True,3.273438,p003,G_030
31,18.062500,15.914062,2.148438,1,14.414062,14.218750,0.195312,1,False,1.953125,p003,G_030
32,18.062500,15.914062,2.148438,1,15.132812,13.500000,1.632812,1,False,0.515625,p003,G_030
33,18.062500,15.914062,2.148438,1,15.515625,13.656250,1.859375,1,False,0.289062,p003,G_030
34,18.062500,15.914062,2.148438,1,15.546875,13.570312,1.976562,1,False,0.171875,p003,G_030
35,18.062500,15.914062,2.148438,1,15.523438,13.492188,2.031250,1,False,0.117188,p003,G_030
0,18.781250,22.609375,-3.828125,2,14.609375,14.867188,-0.257812,2,False,-3.570312,p004,H_093
1,18.781250,22.609375,-3.828125,2,15.335938,16.187500,-0.851562,2,False,-2.976562,p004,H_093
2,18.781250,22.609375,-3.828125,2,14.562500,15.007812,-0.445312,2,False,-3.382812,p004,H_093
3,18.781250,22.609375,-3.828125,2,12.898438,13.328125,-0.429688,2,False,-3.398438,p004,H_093
4,18.781250,22.609375,-3.828125,2,13.835938,14.023438,-0.187500,2,False,-3.640625,p004,H_093
5,18.781250,22.609375,-3.828125,2,14.570312,15.070312,-0.500000,2,False,-3.328125,p004,H_093
6,18.781250,22.609375,-3.828125,2,12.890625,12.789062,0.101562,1,True,-3.929688,p004,H_093
7,18.781250,22.609375,-3.828125,2,13.695312,13.882812,-0.187500,2,False,-3.640625,p004,H_093
