prompt_id,layer,attn_to_1,attn_to_2,mlp_to_1,mlp_to_2,total_to_1,total_to_2
p001,14,3.091796875,3.103515625,0.6826171875,0.70654296875,3.76171875,3.796875
p001,19,1.4404296875,1.3154296875,0.80615234375,0.8046875,2.25,2.123046875
p001,25,-3.5,-3.611328125,5.3984375,5.3828125,1.9150390625,1.787109375
p001,26,11.8203125,11.78125,12.515625,12.4921875,24.328125,24.25
p001,27,60.625,60.71875,-6.57421875,-6.81640625,54.0625,53.875
p002,14,3.076171875,3.0859375,0.6884765625,0.71240234375,3.75,3.783203125
p002,19,1.455078125,1.33203125,0.7978515625,0.7958984375,2.25,2.125
p002,25,-3.56640625,-3.677734375,5.39453125,5.375,1.8388671875,1.7099609375
p002,26,11.8203125,11.78125,12.5546875,12.53125,24.375,24.3125
p002,27,60.84375,60.90625,-6.453125,-6.6953125,54.375,54.21875
p003,14,3.09765625,3.107421875,0.67919921875,0.703125,3.75390625,3.7890625
p003,19,1.41796875,1.29296875,0.8154296875,0.81396484375,2.251953125,2.125
p003,25,-3.49609375,-3.61328125,5.4375,5.41796875,1.9208984375,1.7900390625
p003,26,11.640625,11.59375,12.734375,12.703125,24.359375,24.296875
p003,27,61.0,61.09375,-6.5859375,-6.83203125,54.4375,54.25
p004,14,3.103515625,3.115234375,0.681640625,0.70556640625,3.771484375,3.80859375
p004,19,1.4130859375,1.287109375,0.81689453125,0.81494140625,2.2578125,2.130859375
p004,25,-3.455078125,-3.5703125,5.43359375,5.41796875,1.974609375,1.84375
p004,26,11.640625,11.59375,12.7890625,12.7578125,24.453125,24.375
p004,27,60.71875,60.78125,-6.51171875,-6.7578125,54.15625,54.0
p005,14,3.064453125,3.07421875,0.6865234375,0.7099609375,3.755859375,3.7890625
p005,19,1.4619140625,1.337890625,0.8310546875,0.82958984375,2.30078125,2.177734375
p005,25,-3.5234375,-3.63671875,5.40625,5.390625,1.8798828125,1.7470703125
p005,26,11.6484375,11.609375,12.703125,12.6796875,24.34375,24.28125
p005,27,60.875,60.96875,-6.6015625,-6.84375,54.25,54.09375
p006,14,3.08984375,3.099609375,0.6767578125,0.701171875,3.759765625,3.794921875
p006,19,1.4404296875,1.31640625,0.81396484375,0.8125,2.248046875,2.123046875
p006,25,-3.55859375,-3.671875,5.4140625,5.3984375,1.8720703125,1.7421875
p006,26,11.7109375,11.671875,12.6796875,12.65625,24.375,24.3125
p006,27,61.03125,61.125,-6.51953125,-6.76171875,54.5,54.34375
p007,14,3.103515625,3.11328125,0.6875,0.71142578125,3.771484375,3.806640625
p007,19,1.4912109375,1.3671875,0.79443359375,0.79248046875,2.30078125,2.173828125
p007,25,-3.57421875,-3.6875,5.39453125,5.37890625,1.8232421875,1.6923828125
p007,26,11.7890625,11.75,12.5703125,12.546875,24.359375,24.296875
p007,27,61.03125,61.09375,-6.453125,-6.69921875,54.59375,54.4375
p008,14,3.1015625,3.11328125,0.6904296875,0.71435546875,3.78515625,3.8203125
p008,19,1.435546875,1.3095703125,0.80859375,0.806640625,2.25390625,2.126953125
p008,25,-3.5703125,-3.68359375,5.40625,5.390625,1.828125,1.697265625
p008,26,11.875,11.8359375,12.609375,12.5859375,24.5,24.421875
p008,27,60.6875,60.75,-6.54296875,-6.7890625,54.125,53.96875
p009,14,3.0859375,3.095703125,0.6826171875,0.70654296875,3.759765625,3.794921875
p009,19,1.4638671875,1.3388671875,0.82568359375,0.82421875,2.287109375,2.162109375
