Layer,Logit_1_Original,Logit_2_Original,Diff_Original,Choice_Original,Logit_1_Patched,Logit_2_Patched,Diff_Patched,Choice_Patched,Choice_Flipped,Causal_Score,prompt_id,original_id
0,-156.875000,-157.625000,0.750000,1,-404.750000,-404.250000,-0.500000,2,True,1.250000,p001,G_058
1,-156.875000,-157.625000,0.750000,1,-404.750000,-404.250000,-0.500000,2,True,1.250000,p001,G_058
2,-156.875000,-157.625000,0.750000,1,-404.750000,-404.250000,-0.500000,2,True,1.250000,p001,G_058
3,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
4,-156.875000,-157.625000,0.750000,1,-405.000000,-404.250000,-0.750000,2,True,1.500000,p001,G_058
5,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
6,-156.875000,-157.625000,0.750000,1,-405.000000,-404.250000,-0.750000,2,True,1.500000,p001,G_058
7,-156.875000,-157.625000,0.750000,1,-405.000000,-404.250000,-0.750000,2,True,1.500000,p001,G_058
8,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
9,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
10,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
11,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
12,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
13,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
14,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
15,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
16,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
17,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
18,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
19,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
20,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
21,-156.875000,-157.625000,0.750000,1,-405.000000,-404.500000,-0.500000,2,True,1.250000,p001,G_058
22,-156.875000,-157.625000,0.750000,1,-405.000000,-404.250000,-0.750000,2,True,1.500000,p001,G_058
23,-156.875000,-157.625000,0.750000,1,-404.750000,-404.250000,-0.500000,2,True,1.250000,p001,G_058
24,-156.875000,-157.625000,0.750000,1,-404.750000,-404.250000,-0.500000,2,True,1.250000,p001,G_058
25,-156.875000,-157.625000,0.750000,1,-404.750000,-404.250000,-0.500000,2,True,1.250000,p001,G_058
26,-156.875000,-157.625000,0.750000,1,-404.750000,-404.250000,-0.500000,2,True,1.250000,p001,G_058
27,-156.875000,-157.625000,0.750000,1,-404.500000,-404.000000,-0.500000,2,True,1.250000,p001,G_058
0,-232.250000,-233.750000,1.500000,1,-404.000000,-403.500000,-0.500000,2,True,2.000000,p002,G_112
1,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
2,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
3,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
4,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
5,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
6,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
7,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
8,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
9,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
10,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
11,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
12,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
13,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
14,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
15,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
16,-232.250000,-233.750000,1.500000,1,-403.750000,-403.250000,-0.500000,2,True,2.000000,p002,G_112
17,-232.250000,-233.750000,1.500000,1,-403.750000,-403.000000,-0.750000,2,True,2.250000,p002,G_112
