1,2,layer,prompt_id
-465.0,-464.0,0,p001
-460.0,-459.0,1,p001
-457.75,-456.5,2,p001
-456.0,-455.0,3,p001
-454.25,-453.25,4,p001
-452.75,-451.75,5,p001
-452.5,-451.25,6,p001
-451.25,-450.0,7,p001
-451.25,-450.25,8,p001
-449.75,-448.75,9,p001
-448.0,-447.0,10,p001
-447.25,-446.25,11,p001
-446.25,-445.25,12,p001
-446.0,-445.0,13,p001
-443.75,-442.5,14,p001
-442.25,-441.25,15,p001
-439.5,-438.5,16,p001
-437.75,-436.75,17,p001
-437.75,-436.75,18,p001
-437.75,-436.75,19,p001
-437.0,-436.0,20,p001
-436.25,-435.25,21,p001
-435.75,-434.75,22,p001
-435.0,-434.25,23,p001
-433.25,-432.5,24,p001
-430.75,-430.0,25,p001
-429.75,-429.0,26,p001
-404.5,-404.0,27,p001
-465.25,-464.25,0,p002
-460.0,-459.0,1,p002
-457.75,-456.75,2,p002
-456.0,-455.0,3,p002
-454.5,-453.25,4,p002
-452.75,-451.75,5,p002
-452.5,-451.25,6,p002
-451.25,-450.25,7,p002
-451.25,-450.25,8,p002
-449.75,-448.75,9,p002
-448.0,-447.0,10,p002
-447.25,-446.25,11,p002
-446.25,-445.25,12,p002
-445.75,-444.75,13,p002
-443.5,-442.5,14,p002
-442.0,-441.0,15,p002
-439.5,-438.25,16,p002
-437.75,-436.5,17,p002
-437.75,-436.75,18,p002
-437.75,-436.75,19,p002
-436.75,-436.0,20,p002
-436.25,-435.25,21,p002
-435.75,-434.75,22,p002
-435.0,-434.25,23,p002
-433.25,-432.5,24,p002
-430.75,-430.0,25,p002
-429.75,-429.0,26,p002
-403.75,-403.25,27,p002
-465.5,-464.5,0,p003
-460.25,-459.25,1,p003
-458.0,-457.0,2,p003
-456.25,-455.25,3,p003
-454.5,-453.5,4,p003
-453.0,-451.75,5,p003
-452.75,-451.5,6,p003
-451.5,-450.25,7,p003
-451.5,-450.5,8,p003
-450.0,-449.0,9,p003
-448.25,-447.0,10,p003
-447.5,-446.5,11,p003
-446.5,-445.5,12,p003
-446.0,-445.0,13,p003
-443.75,-442.75,14,p003
-442.25,-441.25,15,p003
-439.5,-438.5,16,p003
-437.75,-436.75,17,p003
-437.75,-436.75,18,p003
-437.75,-436.75,19,p003
-437.0,-436.0,20,p003
-436.5,-435.5,21,p003
-435.75,-435.0,22,p003
-435.25,-434.25,23,p003
-433.5,-432.5,24,p003
-431.0,-430.25,25,p003
-430.0,-429.5,26,p003
-404.0,-403.5,27,p003
-465.5,-464.25,0,p004
-460.25,-459.25,1,p004
-458.0,-457.0,2,p004
-456.25,-455.25,3,p004
-454.75,-453.5,4,p004
-453.0,-452.0,5,p004
-452.75,-451.75,6,p004
-451.5,-450.5,7,p004
-451.75,-450.5,8,p004
-450.25,-449.0,9,p004
-448.5,-447.5,10,p004
