Layer,Logit_1_Original,Logit_2_Original,Diff_Original,Choice_Original,Logit_1_Patched,Logit_2_Patched,Diff_Patched,Choice_Patched,Choice_Flipped,Causal_Score,prompt_id,original_id
0,16.781250,17.375000,-0.593750,2,14.804688,13.031250,1.773438,1,True,-2.367188,p001,G_058
1,16.781250,17.375000,-0.593750,2,14.781250,13.000000,1.781250,1,True,-2.375000,p001,G_058
2,16.781250,17.375000,-0.593750,2,14.710938,13.000000,1.710938,1,True,-2.304688,p001,G_058
3,16.781250,17.375000,-0.593750,2,14.460938,12.820312,1.640625,1,True,-2.234375,p001,G_058
4,16.781250,17.375000,-0.593750,2,14.601562,12.796875,1.804688,1,True,-2.398438,p001,G_058
5,16.781250,17.375000,-0.593750,2,14.726562,12.945312,1.781250,1,True,-2.375000,p001,G_058
6,16.781250,17.375000,-0.593750,2,14.578125,12.781250,1.796875,1,True,-2.390625,p001,G_058
7,16.781250,17.375000,-0.593750,2,14.585938,12.609375,1.976562,1,True,-2.570312,p001,G_058
8,16.781250,17.375000,-0.593750,2,14.523438,12.546875,1.976562,1,True,-2.570312,p001,G_058
9,16.781250,17.375000,-0.593750,2,14.445312,12.656250,1.789062,1,True,-2.382812,p001,G_058
10,16.781250,17.375000,-0.593750,2,14.648438,12.796875,1.851562,1,True,-2.445312,p001,G_058
11,16.781250,17.375000,-0.593750,2,14.484375,12.906250,1.578125,1,True,-2.171875,p001,G_058
12,16.781250,17.375000,-0.593750,2,14.429688,12.710938,1.718750,1,True,-2.312500,p001,G_058
13,16.781250,17.375000,-0.593750,2,14.359375,12.460938,1.898438,1,True,-2.492188,p001,G_058
14,16.781250,17.375000,-0.593750,2,14.109375,12.312500,1.796875,1,True,-2.390625,p001,G_058
15,16.781250,17.375000,-0.593750,2,14.125000,11.992188,2.132812,1,True,-2.726562,p001,G_058
16,16.781250,17.375000,-0.593750,2,14.656250,11.414062,3.242188,1,True,-3.835938,p001,G_058
17,16.781250,17.375000,-0.593750,2,14.523438,11.687500,2.835938,1,True,-3.429688,p001,G_058
18,16.781250,17.375000,-0.593750,2,14.484375,11.687500,2.796875,1,True,-3.390625,p001,G_058
19,16.781250,17.375000,-0.593750,2,14.515625,11.578125,2.937500,1,True,-3.531250,p001,G_058
20,16.781250,17.375000,-0.593750,2,14.546875,11.656250,2.890625,1,True,-3.484375,p001,G_058
21,16.781250,17.375000,-0.593750,2,14.484375,11.492188,2.992188,1,True,-3.585938,p001,G_058
22,16.781250,17.375000,-0.593750,2,14.609375,11.328125,3.281250,1,True,-3.875000,p001,G_058
