prompt_id,layer,attn_to_1,attn_to_2,total_to_1,total_to_2
p001,16,-0.9560546875,-0.90234375,-0.69677734375,-0.62353515625
p001,22,-0.49609375,-0.322998046875,-0.26904296875,-0.35302734375
p001,29,2.36328125,1.671875,3.56640625,4.39453125
p001,30,7.375,8.5078125,9.8125,10.0234375
p001,31,8.140625,6.64453125,17.828125,16.328125
p002,16,-0.85986328125,-0.83056640625,-0.62060546875,-0.472900390625
p002,22,-0.33544921875,-0.24267578125,-0.2115478515625,-0.302978515625
p002,29,3.23046875,2.62109375,4.7421875,4.21484375
p002,30,8.6015625,8.0234375,10.71875,9.484375
p002,31,10.65625,9.4609375,17.296875,16.140625
p003,16,-0.69921875,-0.6357421875,-0.8857421875,-0.6396484375
p003,22,-0.248291015625,-0.107421875,-0.197021484375,-0.1890869140625
p003,29,2.265625,1.7109375,4.8984375,3.85546875
p003,30,9.484375,8.5859375,11.65625,9.203125
p003,31,12.1953125,10.9296875,20.4375,18.71875
p004,16,-0.89599609375,-0.88330078125,-0.8154296875,-0.62060546875
p004,22,-0.6259765625,-0.406494140625,-0.38427734375,-0.421142578125
p004,29,2.0234375,1.3955078125,5.34375,4.890625
p004,30,7.5234375,6.7109375,9.5078125,7.76953125
p004,31,10.84375,9.5546875,17.5625,15.2578125
p005,16,-0.8974609375,-0.86083984375,-1.0458984375,-0.841796875
p005,22,-0.51806640625,-0.32763671875,-0.4150390625,-0.48193359375
p005,29,1.98828125,1.41796875,4.65625,4.8671875
p005,30,7.671875,7.47265625,9.875,8.1875
p005,31,10.046875,8.375,18.640625,15.640625
p006,16,-0.71044921875,-0.6455078125,-0.90869140625,-0.69970703125
p006,22,-0.260009765625,-0.1162109375,-0.1314697265625,-0.0863037109375
p006,29,2.513671875,2.03125,4.4375,3.458984375
p006,30,9.21875,9.7109375,11.53125,10.078125
p006,31,10.2421875,9.0703125,17.75,16.390625
p007,16,-1.1181640625,-1.0625,-0.9296875,-0.71240234375
p007,22,-0.63427734375,-0.4677734375,-0.43017578125,-0.5703125
p007,29,1.6005859375,1.044921875,4.01953125,4.171875
p007,30,7.65625,8.515625,9.8203125,9.5546875
p007,31,10.2890625,8.765625,19.390625,17.5
p008,16,-0.90576171875,-0.85986328125,-0.73388671875,-0.52294921875
p008,22,-0.5224609375,-0.352783203125,-0.49560546875,-0.5361328125
p008,29,2.240234375,1.6171875,4.77734375,5.28515625
p008,30,8.4921875,8.5703125,11.2421875,10.4453125
p008,31,9.3125,8.1484375,18.03125,16.484375
p009,16,-0.82958984375,-0.736328125,-0.806640625,-0.5556640625
p009,22,-0.74755859375,-0.5107421875,-0.51611328125,-0.69873046875
p009,29,2.056640625,1.408203125,4.11328125,3.927734375
p009,30,8.015625,9.359375,9.6875,8.953125
p009,31,8.6171875,7.25390625,17.28125,14.515625
p010,16,-0.572265625,-0.5732421875,-0.5322265625,-0.42431640625
p010,22,-0.43212890625,-0.27099609375,-0.44287109375,-0.481201171875
p010,29,3.03515625,2.357421875,6.046875,5.94140625
p010,30,7.80859375,7.5859375,9.6171875,8.6484375
p010,31,11.75,10.625,18.53125,16.453125
p011,16,-0.87353515625,-0.8623046875,-0.6650390625,-0.496826171875
p011,22,-0.5546875,-0.415771484375,-0.309326171875,-0.390869140625
p011,29,2.013671875,1.41015625,5.4765625,5.46484375
p011,30,7.265625,6.63671875,9.640625,7.69140625
p011,31,11.0390625,9.5703125,18.671875,16.421875
p012,16,-0.72802734375,-0.69580078125,-0.7724609375,-0.564453125
p012,22,-0.525390625,-0.364013671875,-0.451171875,-0.61376953125
p012,29,2.064453125,1.505859375,4.4140625,4.19140625
p012,30,8.1796875,8.5,10.125,9.046875
p012,31,9.7578125,8.2734375,18.40625,15.5625
p013,16,-0.88330078125,-0.82177734375,-0.7685546875,-0.53955078125
p013,22,-0.50634765625,-0.37451171875,-0.27587890625,-0.265869140625
p013,29,1.7216796875,1.228515625,4.4140625,3.0234375
p013,30,7.078125,6.12890625,7.46484375,6.30859375
p013,31,7.0625,6.2734375,16.859375,15.515625
p014,16,-0.873046875,-0.82421875,-0.72314453125,-0.5458984375
p014,22,-0.525390625,-0.3466796875,-0.1971435546875,-0.2447509765625
p014,29,2.02734375,1.3720703125,5.2578125,4.66015625
p014,30,7.25390625,6.75,8.7734375,7.26953125
p014,31,10.671875,9.28125,18.203125,16.234375
p015,16,-1.087890625,-0.962890625,-0.85986328125,-0.64013671875
p015,22,-0.49365234375,-0.328857421875,-0.509765625,-0.52587890625
p015,29,1.8349609375,1.248046875,4.30078125,4.09765625
p015,30,8.0234375,7.7109375,9.7421875,8.0
p015,31,11.1796875,9.5078125,19.8125,17.203125
p016,16,-0.6650390625,-0.60546875,-0.81787109375,-0.58349609375
p016,22,-0.399169921875,-0.26123046875,-0.498291015625,-0.402587890625
p016,29,2.087890625,1.5751953125,3.9921875,3.9921875
p016,30,8.2578125,8.015625,11.3203125,9.140625
p016,31,11.484375,10.0078125,19.546875,17.09375
p017,16,-0.6767578125,-0.6455078125,-0.63671875,-0.42919921875
p017,22,-0.572265625,-0.35400390625,-0.347900390625,-0.446533203125
p017,29,2.48828125,1.8544921875,5.5859375,5.70703125
p017,30,8.046875,7.91015625,10.5703125,9.15625
p017,31,11.6953125,10.328125,18.671875,16.1875
p018,16,-0.76416015625,-0.73291015625,-0.8271484375,-0.66943359375
p018,22,-0.4169921875,-0.254638671875,-0.51123046875,-0.447509765625
p018,29,1.921875,1.3486328125,4.421875,4.01171875
p018,30,7.76953125,8.515625,10.59375,8.7890625
p018,31,12.1328125,10.390625,20.265625,17.0
p019,16,-0.85888671875,-0.79248046875,-0.64501953125,-0.446533203125
p019,22,-0.310791015625,-0.2056884765625,-0.1556396484375,-0.258544921875
p019,29,2.78515625,2.00390625,3.599609375,3.322265625
p019,30,6.99609375,5.953125,10.171875,9.0625
p019,31,8.171875,7.21875,16.4375,15.0625
p020,16,-0.85888671875,-0.80859375,-0.67578125,-0.48974609375
p020,22,-0.435302734375,-0.30078125,-0.316650390625,-0.422119140625
p020,29,2.18359375,1.5400390625,4.5390625,4.50390625
p020,30,7.328125,6.6796875,10.390625,9.0546875
p020,31,9.7421875,8.5,19.453125,17.8125
