Layer,Logit_1_Original,Logit_2_Original,Diff_Original,Choice_Original,Logit_1_Patched,Logit_2_Patched,Diff_Patched,Choice_Patched,Choice_Flipped,Causal_Score,prompt_id,original_id
0,16.343750,17.968750,-1.625000,2,14.687500,18.015625,-3.328125,2,False,1.703125,p001,G_058
1,16.343750,17.968750,-1.625000,2,14.890625,18.203125,-3.312500,2,False,1.687500,p001,G_058
2,16.343750,17.968750,-1.625000,2,14.820312,18.046875,-3.226562,2,False,1.601562,p001,G_058
3,16.343750,17.968750,-1.625000,2,14.757812,18.031250,-3.273438,2,False,1.648438,p001,G_058
4,16.343750,17.968750,-1.625000,2,14.914062,17.953125,-3.039062,2,False,1.414062,p001,G_058
5,16.343750,17.968750,-1.625000,2,15.054688,18.187500,-3.132812,2,False,1.507812,p001,G_058
6,16.343750,17.968750,-1.625000,2,14.945312,18.187500,-3.242188,2,False,1.617188,p001,G_058
7,16.343750,17.968750,-1.625000,2,14.804688,18.328125,-3.523438,2,False,1.898438,p001,G_058
8,16.343750,17.968750,-1.625000,2,14.296875,17.843750,-3.546875,2,False,1.921875,p001,G_058
9,16.343750,17.968750,-1.625000,2,14.039062,18.156250,-4.117188,2,False,2.492188,p001,G_058
10,16.343750,17.968750,-1.625000,2,14.132812,17.906250,-3.773438,2,False,2.148438,p001,G_058
11,16.343750,17.968750,-1.625000,2,14.281250,17.640625,-3.359375,2,False,1.734375,p001,G_058
12,16.343750,17.968750,-1.625000,2,13.835938,17.343750,-3.507812,2,False,1.882812,p001,G_058
13,16.343750,17.968750,-1.625000,2,14.187500,17.562500,-3.375000,2,False,1.750000,p001,G_058
14,16.343750,17.968750,-1.625000,2,14.539062,18.140625,-3.601562,2,False,1.976562,p001,G_058
15,16.343750,17.968750,-1.625000,2,14.656250,18.093750,-3.437500,2,False,1.812500,p001,G_058
16,16.343750,17.968750,-1.625000,2,15.468750,17.718750,-2.250000,2,False,0.625000,p001,G_058
17,16.343750,17.968750,-1.625000,2,15.726562,17.531250,-1.804688,2,False,0.179688,p001,G_058
18,16.343750,17.968750,-1.625000,2,15.742188,17.796875,-2.054688,2,False,0.429688,p001,G_058
19,16.343750,17.968750,-1.625000,2,17.531250,17.265625,0.265625,1,True,-1.890625,p001,G_058
20,16.343750,17.968750,-1.625000,2,17.625000,17.359375,0.265625,1,True,-1.890625,p001,G_058
21,16.343750,17.968750,-1.625000,2,17.625000,17.390625,0.234375,1,True,-1.859375,p001,G_058
22,16.343750,17.968750,-1.625000,2,17.609375,17.343750,0.265625,1,True,-1.890625,p001,G_058
23,16.343750,17.968750,-1.625000,2,17.593750,17.375000,0.218750,1,True,-1.843750,p001,G_058
24,16.343750,17.968750,-1.625000,2,17.343750,16.781250,0.562500,1,True,-2.187500,p001,G_058
25,16.343750,17.968750,-1.625000,2,17.218750,16.562500,0.656250,1,True,-2.281250,p001,G_058
26,16.343750,17.968750,-1.625000,2,16.812500,16.171875,0.640625,1,True,-2.265625,p001,G_058
27,16.343750,17.968750,-1.625000,2,16.203125,15.804688,0.398438,1,True,-2.023438,p001,G_058
28,16.343750,17.968750,-1.625000,2,16.156250,15.796875,0.359375,1,True,-1.984375,p001,G_058
29,16.343750,17.968750,-1.625000,2,16.125000,15.796875,0.328125,1,True,-1.953125,p001,G_058
30,16.343750,17.968750,-1.625000,2,16.218750,15.492188,0.726562,1,True,-2.351562,p001,G_058
31,16.343750,17.968750,-1.625000,2,16.890625,16.171875,0.718750,1,True,-2.343750,p001,G_058
0,16.406250,16.031250,0.375000,1,15.312500,14.664062,0.648438,1,False,-0.273438,p002,G_112
1,16.406250,16.031250,0.375000,1,15.367188,14.773438,0.593750,1,False,-0.218750,p002,G_112
2,16.406250,16.031250,0.375000,1,15.523438,14.882812,0.640625,1,False,-0.265625,p002,G_112
3,16.406250,16.031250,0.375000,1,15.359375,14.804688,0.554688,1,False,-0.179688,p002,G_112
4,16.406250,16.031250,0.375000,1,15.335938,14.765625,0.570312,1,False,-0.195312,p002,G_112
5,16.406250,16.031250,0.375000,1,15.484375,14.703125,0.781250,1,False,-0.406250,p002,G_112
6,16.406250,16.031250,0.375000,1,15.554688,14.406250,1.148438,1,False,-0.773438,p002,G_112
7,16.406250,16.031250,0.375000,1,15.500000,14.375000,1.125000,1,False,-0.750000,p002,G_112
8,16.406250,16.031250,0.375000,1,15.664062,14.500000,1.164062,1,False,-0.789062,p002,G_112
9,16.406250,16.031250,0.375000,1,15.460938,14.367188,1.093750,1,False,-0.718750,p002,G_112
10,16.406250,16.031250,0.375000,1,15.546875,14.414062,1.132812,1,False,-0.757812,p002,G_112
11,16.406250,16.031250,0.375000,1,15.687500,14.742188,0.945312,1,False,-0.570312,p002,G_112
12,16.406250,16.031250,0.375000,1,15.671875,14.687500,0.984375,1,False,-0.609375,p002,G_112
13,16.406250,16.031250,0.375000,1,15.804688,14.820312,0.984375,1,False,-0.609375,p002,G_112
14,16.406250,16.031250,0.375000,1,15.773438,15.226562,0.546875,1,False,-0.171875,p002,G_112
15,16.406250,16.031250,0.375000,1,15.859375,15.523438,0.335938,1,False,0.039062,p002,G_112
16,16.406250,16.031250,0.375000,1,15.882812,15.843750,0.039062,1,False,0.335938,p002,G_112
17,16.406250,16.031250,0.375000,1,15.828125,15.562500,0.265625,1,False,0.109375,p002,G_112
18,16.406250,16.031250,0.375000,1,15.765625,15.609375,0.156250,1,False,0.218750,p002,G_112
19,16.406250,16.031250,0.375000,1,16.031250,15.445312,0.585938,1,False,-0.210938,p002,G_112
20,16.406250,16.031250,0.375000,1,16.140625,15.757812,0.382812,1,False,-0.007812,p002,G_112
21,16.406250,16.031250,0.375000,1,16.234375,15.851562,0.382812,1,False,-0.007812,p002,G_112
22,16.406250,16.031250,0.375000,1,16.296875,15.875000,0.421875,1,False,-0.046875,p002,G_112
23,16.406250,16.031250,0.375000,1,16.218750,15.828125,0.390625,1,False,-0.015625,p002,G_112
24,16.406250,16.031250,0.375000,1,16.328125,15.968750,0.359375,1,False,0.015625,p002,G_112
25,16.406250,16.031250,0.375000,1,16.312500,16.000000,0.312500,1,False,0.062500,p002,G_112
26,16.406250,16.031250,0.375000,1,16.328125,16.218750,0.109375,1,False,0.265625,p002,G_112
27,16.406250,16.031250,0.375000,1,16.609375,16.484375,0.125000,1,False,0.250000,p002,G_112
28,16.406250,16.031250,0.375000,1,16.781250,16.671875,0.109375,1,False,0.265625,p002,G_112
29,16.406250,16.031250,0.375000,1,16.562500,16.359375,0.203125,1,False,0.171875,p002,G_112
30,16.406250,16.031250,0.375000,1,16.515625,16.562500,-0.046875,2,True,0.421875,p002,G_112
31,16.406250,16.031250,0.375000,1,16.468750,16.515625,-0.046875,2,True,0.421875,p002,G_112
0,16.390625,15.734375,0.656250,1,15.054688,14.085938,0.968750,1,False,-0.312500,p003,G_030
1,16.390625,15.734375,0.656250,1,15.148438,14.195312,0.953125,1,False,-0.296875,p003,G_030
2,16.390625,15.734375,0.656250,1,15.484375,14.671875,0.812500,1,False,-0.156250,p003,G_030
3,16.390625,15.734375,0.656250,1,15.421875,14.125000,1.296875,1,False,-0.640625,p003,G_030
4,16.390625,15.734375,0.656250,1,15.406250,14.343750,1.062500,1,False,-0.406250,p003,G_030
5,16.390625,15.734375,0.656250,1,15.273438,13.867188,1.406250,1,False,-0.750000,p003,G_030
6,16.390625,15.734375,0.656250,1,15.320312,14.015625,1.304688,1,False,-0.648438,p003,G_030
7,16.390625,15.734375,0.656250,1,15.187500,13.671875,1.515625,1,False,-0.859375,p003,G_030
8,16.390625,15.734375,0.656250,1,15.578125,14.468750,1.109375,1,False,-0.453125,p003,G_030
9,16.390625,15.734375,0.656250,1,15.304688,14.375000,0.929688,1,False,-0.273438,p003,G_030
10,16.390625,15.734375,0.656250,1,14.835938,13.640625,1.195312,1,False,-0.539062,p003,G_030
11,16.390625,15.734375,0.656250,1,15.453125,14.460938,0.992188,1,False,-0.335938,p003,G_030
12,16.390625,15.734375,0.656250,1,15.164062,14.398438,0.765625,1,False,-0.109375,p003,G_030
13,16.390625,15.734375,0.656250,1,15.671875,15.039062,0.632812,1,False,0.023438,p003,G_030
14,16.390625,15.734375,0.656250,1,15.570312,14.625000,0.945312,1,False,-0.289062,p003,G_030
15,16.390625,15.734375,0.656250,1,15.390625,14.406250,0.984375,1,False,-0.328125,p003,G_030
16,16.390625,15.734375,0.656250,1,15.562500,14.500000,1.062500,1,False,-0.406250,p003,G_030
17,16.390625,15.734375,0.656250,1,15.492188,14.640625,0.851562,1,False,-0.195312,p003,G_030
18,16.390625,15.734375,0.656250,1,15.765625,14.835938,0.929688,1,False,-0.273438,p003,G_030
19,16.390625,15.734375,0.656250,1,15.578125,15.000000,0.578125,1,False,0.078125,p003,G_030
20,16.390625,15.734375,0.656250,1,15.453125,14.976562,0.476562,1,False,0.179688,p003,G_030
21,16.390625,15.734375,0.656250,1,15.515625,15.257812,0.257812,1,False,0.398438,p003,G_030
22,16.390625,15.734375,0.656250,1,15.414062,15.148438,0.265625,1,False,0.390625,p003,G_030
23,16.390625,15.734375,0.656250,1,15.257812,15.054688,0.203125,1,False,0.453125,p003,G_030
24,16.390625,15.734375,0.656250,1,15.265625,15.039062,0.226562,1,False,0.429688,p003,G_030
25,16.390625,15.734375,0.656250,1,15.382812,15.179688,0.203125,1,False,0.453125,p003,G_030
26,16.390625,15.734375,0.656250,1,15.281250,15.187500,0.093750,1,False,0.562500,p003,G_030
27,16.390625,15.734375,0.656250,1,15.070312,14.953125,0.117188,1,False,0.539062,p003,G_030
28,16.390625,15.734375,0.656250,1,14.906250,14.718750,0.187500,1,False,0.468750,p003,G_030
29,16.390625,15.734375,0.656250,1,14.734375,14.500000,0.234375,1,False,0.421875,p003,G_030
30,16.390625,15.734375,0.656250,1,14.843750,14.632812,0.210938,1,False,0.445312,p003,G_030
31,16.390625,15.734375,0.656250,1,14.757812,14.453125,0.304688,1,False,0.351562,p003,G_030
0,15.179688,15.085938,0.093750,1,14.828125,15.015625,-0.187500,2,True,0.281250,p004,H_093
1,15.179688,15.085938,0.093750,1,14.976562,15.195312,-0.218750,2,True,0.312500,p004,H_093
2,15.179688,15.085938,0.093750,1,15.046875,15.187500,-0.140625,2,True,0.234375,p004,H_093
3,15.179688,15.085938,0.093750,1,14.960938,15.140625,-0.179688,2,True,0.273438,p004,H_093
4,15.179688,15.085938,0.093750,1,15.210938,15.523438,-0.312500,2,True,0.406250,p004,H_093
