Layer,Logit_1_Original,Logit_2_Original,Diff_Original,Choice_Original,Logit_1_Patched,Logit_2_Patched,Diff_Patched,Choice_Patched,Choice_Flipped,Causal_Score,prompt_id,original_id
0,23.218750,22.921875,0.296875,1,17.968750,17.609375,0.359375,1,False,-0.062500,p001,G_058
1,23.218750,22.921875,0.296875,1,17.968750,17.609375,0.359375,1,False,-0.062500,p001,G_058
2,23.218750,22.921875,0.296875,1,17.968750,17.593750,0.375000,1,False,-0.078125,p001,G_058
3,23.218750,22.921875,0.296875,1,18.000000,17.625000,0.375000,1,False,-0.078125,p001,G_058
4,23.218750,22.921875,0.296875,1,17.968750,17.562500,0.406250,1,False,-0.109375,p001,G_058
5,23.218750,22.921875,0.296875,1,17.984375,17.578125,0.406250,1,False,-0.109375,p001,G_058
6,23.218750,22.921875,0.296875,1,18.031250,17.593750,0.437500,1,False,-0.140625,p001,G_058
7,23.218750,22.921875,0.296875,1,17.921875,17.500000,0.421875,1,False,-0.125000,p001,G_058
8,23.218750,22.921875,0.296875,1,17.671875,17.281250,0.390625,1,False,-0.093750,p001,G_058
9,23.218750,22.921875,0.296875,1,17.609375,17.328125,0.281250,1,False,0.015625,p001,G_058
10,23.218750,22.921875,0.296875,1,17.703125,17.593750,0.109375,1,False,0.187500,p001,G_058
11,23.218750,22.921875,0.296875,1,17.781250,17.750000,0.031250,1,False,0.265625,p001,G_058
12,23.218750,22.921875,0.296875,1,17.828125,17.890625,-0.062500,2,True,0.359375,p001,G_058
13,23.218750,22.921875,0.296875,1,17.640625,17.968750,-0.328125,2,True,0.625000,p001,G_058
14,23.218750,22.921875,0.296875,1,17.640625,17.953125,-0.312500,2,True,0.609375,p001,G_058
15,23.218750,22.921875,0.296875,1,17.718750,18.125000,-0.406250,2,True,0.703125,p001,G_058
16,23.218750,22.921875,0.296875,1,17.515625,17.968750,-0.453125,2,True,0.750000,p001,G_058
17,23.218750,22.921875,0.296875,1,17.718750,18.140625,-0.421875,2,True,0.718750,p001,G_058
18,23.218750,22.921875,0.296875,1,17.734375,18.156250,-0.421875,2,True,0.718750,p001,G_058
19,23.218750,22.921875,0.296875,1,17.734375,18.281250,-0.546875,2,True,0.843750,p001,G_058
20,23.218750,22.921875,0.296875,1,17.640625,18.546875,-0.906250,2,True,1.203125,p001,G_058
21,23.218750,22.921875,0.296875,1,17.765625,18.718750,-0.953125,2,True,1.250000,p001,G_058
22,23.218750,22.921875,0.296875,1,17.953125,18.796875,-0.843750,2,True,1.140625,p001,G_058
23,23.218750,22.921875,0.296875,1,17.875000,18.671875,-0.796875,2,True,1.093750,p001,G_058
24,23.218750,22.921875,0.296875,1,17.921875,18.312500,-0.390625,2,True,0.687500,p001,G_058
25,23.218750,22.921875,0.296875,1,18.187500,18.296875,-0.109375,2,True,0.406250,p001,G_058
26,23.218750,22.921875,0.296875,1,18.625000,18.093750,0.531250,1,False,-0.234375,p001,G_058
27,23.218750,22.921875,0.296875,1,18.421875,18.015625,0.406250,1,False,-0.109375,p001,G_058
28,23.218750,22.921875,0.296875,1,18.187500,17.734375,0.453125,1,False,-0.156250,p001,G_058
29,23.218750,22.921875,0.296875,1,18.703125,17.390625,1.312500,1,False,-1.015625,p001,G_058
30,23.218750,22.921875,0.296875,1,18.843750,17.218750,1.625000,1,False,-1.328125,p001,G_058
31,23.218750,22.921875,0.296875,1,18.859375,17.171875,1.687500,1,False,-1.390625,p001,G_058
32,23.218750,22.921875,0.296875,1,19.000000,16.953125,2.046875,1,False,-1.750000,p001,G_058
33,23.218750,22.921875,0.296875,1,19.046875,17.109375,1.937500,1,False,-1.640625,p001,G_058
34,23.218750,22.921875,0.296875,1,19.171875,17.156250,2.015625,1,False,-1.718750,p001,G_058
35,23.218750,22.921875,0.296875,1,19.328125,17.203125,2.125000,1,False,-1.828125,p001,G_058
0,28.421875,27.015625,1.406250,1,18.000000,18.812500,-0.812500,2,True,2.218750,p002,G_112
1,28.421875,27.015625,1.406250,1,17.984375,18.796875,-0.812500,2,True,2.218750,p002,G_112
2,28.421875,27.015625,1.406250,1,17.953125,18.750000,-0.796875,2,True,2.203125,p002,G_112
3,28.421875,27.015625,1.406250,1,17.906250,18.718750,-0.812500,2,True,2.218750,p002,G_112
4,28.421875,27.015625,1.406250,1,17.843750,18.703125,-0.859375,2,True,2.265625,p002,G_112
5,28.421875,27.015625,1.406250,1,17.781250,18.562500,-0.781250,2,True,2.187500,p002,G_112
6,28.421875,27.015625,1.406250,1,17.906250,18.703125,-0.796875,2,True,2.203125,p002,G_112
7,28.421875,27.015625,1.406250,1,17.921875,18.656250,-0.734375,2,True,2.140625,p002,G_112
8,28.421875,27.015625,1.406250,1,18.078125,18.750000,-0.671875,2,True,2.078125,p002,G_112
9,28.421875,27.015625,1.406250,1,18.109375,18.609375,-0.500000,2,True,1.906250,p002,G_112
10,28.421875,27.015625,1.406250,1,18.125000,18.531250,-0.406250,2,True,1.812500,p002,G_112
11,28.421875,27.015625,1.406250,1,17.968750,18.328125,-0.359375,2,True,1.765625,p002,G_112
12,28.421875,27.015625,1.406250,1,17.781250,17.828125,-0.046875,2,True,1.453125,p002,G_112
13,28.421875,27.015625,1.406250,1,17.828125,17.687500,0.140625,1,False,1.265625,p002,G_112
14,28.421875,27.015625,1.406250,1,17.500000,17.234375,0.265625,1,False,1.140625,p002,G_112
15,28.421875,27.015625,1.406250,1,17.203125,16.921875,0.281250,1,False,1.125000,p002,G_112
16,28.421875,27.015625,1.406250,1,17.171875,17.187500,-0.015625,2,True,1.421875,p002,G_112
17,28.421875,27.015625,1.406250,1,16.984375,17.343750,-0.359375,2,True,1.765625,p002,G_112
18,28.421875,27.015625,1.406250,1,16.203125,16.718750,-0.515625,2,True,1.921875,p002,G_112
19,28.421875,27.015625,1.406250,1,16.656250,17.437500,-0.781250,2,True,2.187500,p002,G_112
20,28.421875,27.015625,1.406250,1,16.343750,16.968750,-0.625000,2,True,2.031250,p002,G_112
21,28.421875,27.015625,1.406250,1,16.968750,17.343750,-0.375000,2,True,1.781250,p002,G_112
22,28.421875,27.015625,1.406250,1,17.312500,17.281250,0.031250,1,False,1.375000,p002,G_112
23,28.421875,27.015625,1.406250,1,17.562500,17.453125,0.109375,1,False,1.296875,p002,G_112
24,28.421875,27.015625,1.406250,1,17.968750,17.546875,0.421875,1,False,0.984375,p002,G_112
25,28.421875,27.015625,1.406250,1,17.937500,17.234375,0.703125,1,False,0.703125,p002,G_112
26,28.421875,27.015625,1.406250,1,17.921875,17.015625,0.906250,1,False,0.500000,p002,G_112
27,28.421875,27.015625,1.406250,1,18.078125,17.140625,0.937500,1,False,0.468750,p002,G_112
28,28.421875,27.015625,1.406250,1,17.937500,17.187500,0.750000,1,False,0.656250,p002,G_112
29,28.421875,27.015625,1.406250,1,18.093750,17.281250,0.812500,1,False,0.593750,p002,G_112
30,28.421875,27.015625,1.406250,1,18.531250,17.031250,1.500000,1,False,-0.093750,p002,G_112
31,28.421875,27.015625,1.406250,1,18.437500,16.968750,1.468750,1,False,-0.062500,p002,G_112
32,28.421875,27.015625,1.406250,1,18.375000,16.968750,1.406250,1,False,0.000000,p002,G_112
33,28.421875,27.015625,1.406250,1,18.562500,17.046875,1.515625,1,False,-0.109375,p002,G_112
34,28.421875,27.015625,1.406250,1,18.671875,17.203125,1.468750,1,False,-0.062500,p002,G_112
35,28.421875,27.015625,1.406250,1,18.625000,17.203125,1.421875,1,False,-0.015625,p002,G_112
